state,totalDistributed,totalAdministered,distPer100K,adminPer100K
Alaska,132350,35027,18092,4788
Alabama,326850,76528,6666,1561
Arkansas,250200,40879,8291,1355
American Samoa,10650,2054,19124,3688
Arizona,563025,137860,7735,1894
Bureau of Prisons,16050,13891,N/A,N/A
California,2833400,782638,7171,1981
Colorado,416875,218185,7239,3789
Connecticut,246875,147174,6924,4128
District of Columbia,60775,29228,8611,4141
Dept of Defense,353500,136557,N/A,N/A
Delaware,70650,25708,7255,2640
Florida,1661675,633440,7737,2949
Federated States of Micronesia,9800,305,9456,294
Georgia,770625,142909,7258,1346
Guam,19300,3791,11643,2287
Hawaii,115250,31462,8140,2222
Iowa,208875,98691,6620,3128
Idaho,108825,34713,6090,1942
Indian Health Svc,223450,65154,N/A,N/A
Illinois,892075,331171,7040,2613
Indiana,522525,183356,7762,2724
Kansas,192200,77217,6597,2650
Kentucky,329450,132114,7374,2957
Louisiana,361750,129591,7782,2788
Massachusetts,458600,197823,6654,2870
Maryland,407800,146231,6745,2419
Maine,108775,54945,8092,4088
Marshall Islands,7200,577,12326,988
Michigan,765900,222379,7669,2227
Minnesota,422450,157245,7491,2788
Missouri,420000,150070,6843,2445
Northern Mariana Islands,18650,3477,32787,6113
Mississippi,192750,53347,6476,1792
Montana,78350,41703,7331,3902
North Carolina,820825,211572,7826,2017
North Dakota,53525,38868,7024,5100
Nebraska,148275,74439,7665,3848
New Hampshire,98150,49452,7218,3637
New Jersey,651000,220828,7329,2486
New Mexico,170300,76773,8122,3661
Nevada,205200,58651,6662,1904
New York State,1410325,579532,7250,2979
Ohio,751250,303522,6427,2597
Oklahoma,310300,154337,7842,3900
Oregon,316550,97024,7505,2300
Pennsylvania,923975,305339,7217,2385
Puerto Rico,246950,73418,7732,2299
Rhode Island,80225,37707,7573,3559
Republic of Palau,6000,367,33506,2049
South Carolina,311950,79057,6059,1535
South Dakota,68900,48225,7788,5451
Tennessee,478500,243855,7007,3571
Texas,1942300,852015,6699,2938
Utah,211575,70957,6599,2213
Virginia,643625,190607,7541,2233
Veterans Health,804525,224109,N/A,N/A
Virgin Islands,7875,636,7523,608
Vermont,54250,25757,8694,4128
Washington,565775,188215,7430,2472
Wisconsin,418775,135261,7192,2323
West Virginia,160975,96337,8982,5376
Wyoming,41375,13022,7149,2250
